,Dataset,Average Context Precision,Average Context Recall,Average Latency (ms),Average Tokens
0,Naive Retrieval,0.7334756312289588,0.9369369369369369,1.486472664652644,3620.4054054054054
1,BM25 Retrieval,0.6569069068659784,0.7837837837837838,1.0339715480804443,1275.081081081081
2,Multi Query Retrieval,0.7471012754790171,0.9594594594594594,3.323618656880147,4465.189189189189
3,Parent Document Retrieval,0.7560060059548296,0.7657657657657658,1.3118928574226998,648.5135135135135
4,Ensemble Retrieval,0.7685388594781526,0.9313725490196079,3.769606280971218,5328.081081081081
5,Semantic Chunking,0.7166817880628075,0.972972972972973,1.4007240501610008,2801.7027027027025
